year,show,ethnicity,actors,theater,type,non-profit
2010-2011,The Normal Heart,Other,0,,Play,
2010-2011,The Pee Wee Herman show,African American,0,,Play,
2010-2011,The Pee Wee Herman show,Asian American,0,,Play,
2010-2011,The Pee Wee Herman show,Caucasian,14,,Play,
2010-2011,The Pee Wee Herman show,Latino,0,,Play,
2010-2011,The Pee Wee Herman show,Other,0,,Play,
2010-2011,The People in the Picture,African American,2,,Musical,
2010-2011,The People in the Picture,Asian American,0,,Musical,
2010-2011,The People in the Picture,Caucasian,14,,Musical,
2010-2011,The People in the Picture,Latino,3,,Musical,
2010-2011,The People in the Picture,Other,0,,Musical,
2010-2011,The Pitment Painters,African American,0,,Play,
2010-2011,The Pitment Painters,Asian American,0,,Play,
2010-2011,The Pitment Painters,Caucasian,11,,Play,
2010-2011,The Pitment Painters,Latino,0,,Play,
2010-2011,The Pitment Painters,Other,0,,Play,
2010-2011,The Scottsboro Boys,African American,16,,Musical,
2010-2011,The Scottsboro Boys,Asian American,0,,Musical,
2010-2011,The Scottsboro Boys,Caucasian,1,,Musical,
2010-2011,The Scottsboro Boys,Latino,0,,Musical,
2010-2011,The Scottsboro Boys,Other,0,,Musical,
2010-2011,Time Stands Still,African American,0,,Play,
2010-2011,Time Stands Still,Asian American,0,,Play,
2010-2011,Time Stands Still,Caucasian,6,,Play,
2010-2011,Time Stands Still,Latino,0,,Play,
2010-2011,Time Stands Still,Other,0,,Play,
2010-2011,War Horse,African American,4,,Play,
2010-2011,War Horse,Asian American,5,,Play,
2010-2011,War Horse,Caucasian,24,,Play,
2010-2011,War Horse,Latino,2,,Play,
2010-2011,War Horse,Other,0,,Play,
2010-2011,Women on the Verge,African American,4,,Musical,
2010-2011,Women on the Verge,Asian American,0,,Musical,
2010-2011,Women on the Verge,Caucasian,14,,Musical,
2010-2011,Women on the Verge,Latino,7,,Musical,
2010-2011,Women on the Verge,Other,0,,Musical,
2010-2011,Wonderland,African American,4,,Musical,
2010-2011,Wonderland,Asian American,2,,Musical,
2010-2011,Wonderland,Caucasian,16,,Musical,
2010-2011,Wonderland,Latino,5,,Musical,
2010-2011,Wonderland,Other,0,,Musical,
2011-2012,A Streetcar Named Desire,African American,11,,Play,
2011-2012,A Streetcar Named Desire,Asian American,0,,Play,
2011-2012,A Streetcar Named Desire,Caucasian,2,,Play,
2011-2012,A Streetcar Named Desire,Latino,3,,Play,
2011-2012,A Streetcar Named Desire,Other,0,,Play,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,African American,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Asian American,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Caucasian,2,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Latino,0,,Musical,
2011-2012,An Evening with Patti Lupone and Mady Patinkin,Other,0,,Musical,
2011-2012,Anything Goes,African American,2,,Musical,
2011-2012,Anything Goes,Asian American,0,,Musical,
2011-2012,Anything Goes,Caucasian,22,,Musical,
2011-2012,Anything Goes,Latino,0,,Musical,
2011-2012,Anything Goes,Other,0,,Musical,
2011-2012,Bonnie and Clyde,African American,0,,Musical,
2011-2012,Bonnie and Clyde,Asian American,0,,Musical,
2011-2012,Bonnie and Clyde,Caucasian,25,,Musical,
2011-2012,Bonnie and Clyde,Latino,0,,Musical,
2011-2012,Bonnie and Clyde,Other,0,,Musical,
2011-2012,Chinglish,African American,0,,Play,
2011-2012,Chinglish,Asian American,7,,Play,
2011-2012,Chinglish,Caucasian,3,,Play,
2011-2012,Chinglish,Latino,0,,Play,
2011-2012,Chinglish,Other,0,,Play,
2011-2012,Clybourne Park,African American,4,,Play,
2011-2012,Clybourne Park,Asian American,0,,Play,
2011-2012,Clybourne Park,Caucasian,9,,Play,
2011-2012,Clybourne Park,Latino,0,,Play,
2011-2012,Clybourne Park,Other,0,,Play,
2011-2012,Death of a Salesman,African American,0,,Play,
2011-2012,Death of a Salesman,Asian American,0,,Play,
2011-2012,Death of a Salesman,Caucasian,17,,Play,
2011-2012,Death of a Salesman,Latino,0,,Play,
2011-2012,Death of a Salesman,Other,0,,Play,
2011-2012,Don't Dress for Dinner,African American,1,,Play,
2011-2012,Don't Dress for Dinner,Asian American,0,,Play,
2011-2012,Don't Dress for Dinner,Caucasian,8,,Play,
2011-2012,Don't Dress for Dinner,Latino,0,,Play,
2011-2012,Don't Dress for Dinner,Other,0,,Play,
2011-2012,End of the Rainbow,African American,0,,Play,
2011-2012,End of the Rainbow,Asian American,0,,Play,
2011-2012,End of the Rainbow,Caucasian,7,,Play,
2011-2012,End of the Rainbow,Latino,0,,Play,
2011-2012,End of the Rainbow,Other,0,,Play,
2011-2012,Evita,African American,2,,Musical,
2011-2012,Evita,Asian American,0,,Musical,
2011-2012,Evita,Caucasian,34,,Musical,
2011-2012,Evita,Latino,3,,Musical,
2011-2012,Evita,Other,0,,Musical,
2011-2012,Follies,African American,4,,Musical,
2011-2012,Follies,Asian American,0,,Musical,
2011-2012,Follies,Caucasian,33,,Musical,
2011-2012,Follies,Latino,1,,Musical,
2011-2012,Follies,Other,0,,Musical,
2011-2012,Ghost The Musical,African American,9,,Musical,
2011-2012,Ghost The Musical,Asian American,0,,Musical,
2011-2012,Ghost The Musical,Caucasian,14,,Musical,
2011-2012,Ghost The Musical,Latino,3,,Musical,
2011-2012,Ghost The Musical,Other,0,,Musical,
2011-2012,Godspell,African American,6,,Musical,
2011-2012,Godspell,Asian American,2,,Musical,
2011-2012,Godspell,Caucasian,7,,Musical,
2011-2012,Godspell,Latino,2,,Musical,
2011-2012,Godspell,Other,0,,Musical,
2011-2012,Gore Vidal's The Best Man,African American,1,,Play,
2011-2012,Gore Vidal's The Best Man,Asian American,0,,Play,
2011-2012,Gore Vidal's The Best Man,Caucasian,24,,Play,
2011-2012,Gore Vidal's The Best Man,Latino,0,,Play,
2011-2012,Gore Vidal's The Best Man,Other,0,,Play,
2011-2012,Hair,African American,8,,Musical,
2011-2012,Hair,Asian American,3,,Musical,
2011-2012,Hair,Caucasian,15,,Musical,
2011-2012,Hair,Latino,0,,Musical,
2011-2012,Hair,Other,1,,Musical,
2011-2012,Harvey,African American,0,,Play,
2011-2012,Harvey,Asian American,0,,Play,
2011-2012,Harvey,Caucasian,15,,Play,
2011-2012,Harvey,Latino,0,,Play,
2011-2012,Harvey,Other,0,,Play,
2011-2012,How to Suceed in Business Without Really Trying,African American,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Asian American,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Caucasian,16,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Latino,0,,Musical,
2011-2012,How to Suceed in Business Without Really Trying,Other,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",African American,4,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Asian American,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Caucasian,7,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Latino,0,,Musical,
2011-2012,"Hugh Jackman, Back on Broadway",Other,0,,Musical,
2011-2012,Jesus Christ Superstar,African American,6,,Musical,
2011-2012,Jesus Christ Superstar,Asian American,3,,Musical,
2011-2012,Jesus Christ Superstar,Caucasian,22,,Musical,
2011-2012,Jesus Christ Superstar,Latino,0,,Musical,
2011-2012,Jesus Christ Superstar,Other,0,,Musical,
2011-2012,Leap of Faith,African American,16,,Musical,
2011-2012,Leap of Faith,Asian American,1,,Musical,
2011-2012,Leap of Faith,Caucasian,14,,Musical,
2011-2012,Leap of Faith,Latino,2,,Musical,
2011-2012,Leap of Faith,Other,0,,Musical,
2011-2012,Lysistrata Jones,African American,4,,Musical,
2011-2012,Lysistrata Jones,Asian American,2,,Musical,
2011-2012,Lysistrata Jones,Caucasian,8,,Musical,
2011-2012,Lysistrata Jones,Latino,3,,Musical,
2011-2012,Lysistrata Jones,Other,0,,Musical,
2011-2012,Magic/Bird,African American,4,,Play,
2011-2012,Magic/Bird,Asian American,0,,Play,
2011-2012,Magic/Bird,Caucasian,4,,Play,
2011-2012,Magic/Bird,Latino,0,,Play,
2011-2012,Magic/Bird,Other,0,,Play,
2011-2012,Man and Boy,African American,0,,Play,
2011-2012,Man and Boy,Asian American,0,,Play,
2011-2012,Man and Boy,Caucasian,10,,Play,
2011-2012,Man and Boy,Latino,0,,Play,
2011-2012,Man and Boy,Other,0,,Play,
2011-2012,Master Class,African American,0,,Play,
2011-2012,Master Class,Asian American,0,,Play,
2011-2012,Master Class,Caucasian,10,,Play,
2011-2012,Master Class,Latino,0,,Play,
2011-2012,Master Class,Other,0,,Play,
2011-2012,Newsies The Musical,African American,2,,Musical,
2011-2012,Newsies The Musical,Asian American,2,,Musical,
2011-2012,Newsies The Musical,Caucasian,29,,Musical,
2011-2012,Newsies The Musical,Latino,0,,Musical,
2011-2012,Newsies The Musical,Other,0,,Musical,
2011-2012,Nice Work If You Can Get It,African American,5,,Musical,
2011-2012,Nice Work If You Can Get It,Asian American,0,,Musical,
2011-2012,Nice Work If You Can Get It,Caucasian,26,,Musical,
2011-2012,Nice Work If You Can Get It,Latino,0,,Musical,
2011-2012,Nice Work If You Can Get It,Other,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,African American,1,,Musical,
2011-2012,On a Clear Day You Can See Forever,Asian American,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,Caucasian,20,,Musical,
2011-2012,On a Clear Day You Can See Forever,Latino,0,,Musical,
2011-2012,On a Clear Day You Can See Forever,Other,0,,Musical,
2011-2012,Once,African American,0,,Musical,
2011-2012,Once,Asian American,0,,Musical,
2011-2012,Once,Caucasian,20,,Musical,
2011-2012,Once,Latino,0,,Musical,
2011-2012,Once,Other,0,,Musical,
2011-2012,"One Man, Two Guvnors",African American,2,,Play,
2011-2012,"One Man, Two Guvnors",Asian American,0,,Play,
2011-2012,"One Man, Two Guvnors",Caucasian,19,,Play,
2011-2012,"One Man, Two Guvnors",Latino,1,,Play,
2011-2012,"One Man, Two Guvnors",Other,0,,Play,
2011-2012,Other Desert Cities,African American,0,,Play,
2011-2012,Other Desert Cities,Asian American,0,,Play,
2011-2012,Other Desert Cities,Caucasian,15,,Play,
2011-2012,Other Desert Cities,Latino,0,,Play,
2011-2012,Other Desert Cities,Other,0,,Play,
2011-2012,Peter and the Starcatcher,African American,1,,Play,
2011-2012,Peter and the Starcatcher,Asian American,1,,Play,
2011-2012,Peter and the Starcatcher,Caucasian,14,,Play,
2011-2012,Peter and the Starcatcher,Latino,1,,Play,
2011-2012,Peter and the Starcatcher,Other,0,,Play,
2011-2012,Priscilla Queen of the Desert,African American,1,,Musical,
2011-2012,Priscilla Queen of the Desert,Asian American,0,,Musical,
2011-2012,Priscilla Queen of the Desert,Caucasian,9,,Musical,
2011-2012,Priscilla Queen of the Desert,Latino,0,,Musical,
2011-2012,Priscilla Queen of the Desert,Other,0,,Musical,
2011-2012,Private Lives,African American,0,,Play,
2011-2012,Private Lives,Asian American,0,,Play,
2011-2012,Private Lives,Caucasian,7,,Play,
2011-2012,Private Lives,Latino,0,,Play,
2011-2012,Private Lives,Other,0,,Play,
2011-2012,Relatively Speaking,African American,0,,Play,
2011-2012,Relatively Speaking,Asian American,0,,Play,
2011-2012,Relatively Speaking,Caucasian,11,,Play,
2011-2012,Relatively Speaking,Latino,0,,Play,
2011-2012,Relatively Speaking,Other,0,,Play,
2011-2012,Seminar,African American,0,,Play,
2011-2012,Seminar,Asian American,1,,Play,
2011-2012,Seminar,Caucasian,9,,Play,
2011-2012,Seminar,Latino,1,,Play,
2011-2012,Seminar,Other,0,,Play,
2011-2012,Shatner's World: We Just Live in It,African American,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Asian American,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Caucasian,1,,Play,
2011-2012,Shatner's World: We Just Live in It,Latino,0,,Play,
2011-2012,Shatner's World: We Just Live in It,Other,0,,Play,
2011-2012,Sister Act,African American,5,,Musical,
2011-2012,Sister Act,Asian American,0,,Musical,
2011-2012,Sister Act,Caucasian,6,,Musical,
2011-2012,Sister Act,Latino,0,,Musical,
2011-2012,Sister Act,Other,0,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,African American,10,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Asian American,5,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Caucasian,47,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Latino,0,,Musical,
2011-2012,Spider-Man: Turn Off The Dark,Other,0,,Musical,
2011-2012,Stick Fly,African American,8,,Play,
2011-2012,Stick Fly,Asian American,0,,Play,
2011-2012,Stick Fly,Caucasian,2,,Play,
2011-2012,Stick Fly,Latino,0,,Play,
2011-2012,Stick Fly,Other,0,,Play,
2011-2012,The Book of Mormon,African American,6,,Musical,
2011-2012,The Book of Mormon,Asian American,0,,Musical,
2011-2012,The Book of Mormon,Caucasian,3,,Musical,
2011-2012,The Book of Mormon,Latino,0,,Musical,
2011-2012,The Book of Mormon,Other,0,,Musical,
2011-2012,The Columnist,African American,0,,Play,
2011-2012,The Columnist,Asian American,0,,Play,
2011-2012,The Columnist,Caucasian,12,,Play,
2011-2012,The Columnist,Latino,0,,Play,
2011-2012,The Columnist,Other,0,,Play,
2011-2012,The Gershwin's Porgy and Bess,African American,25,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Asian American,0,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Caucasian,2,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Latino,0,,Musical,
2011-2012,The Gershwin's Porgy and Bess,Other,0,,Musical,
2011-2012,The Lyons,African American,1,,Play,
2011-2012,The Lyons,Asian American,0,,Play,
2011-2012,The Lyons,Caucasian,10,,Play,
2011-2012,The Lyons,Latino,0,,Play,
2011-2012,The Lyons,Other,0,,Play,
2011-2012,The Mountaintop,African American,4,,Play,
2011-2012,The Mountaintop,Asian American,0,,Play,
2011-2012,The Mountaintop,Caucasian,0,,Play,
2011-2012,The Mountaintop,Latino,0,,Play,
2011-2012,The Mountaintop,Other,0,,Play,
2011-2012,The Road to Mecca,African American,0,,Play,
2011-2012,The Road to Mecca,Asian American,0,,Play,
2011-2012,The Road to Mecca,Caucasian,6,,Play,
2011-2012,The Road to Mecca,Latino,0,,Play,
2011-2012,The Road to Mecca,Other,0,,Play,
2011-2012,Venus In Fur,African American,0,,Play,
2011-2012,Venus In Fur,Asian American,0,,Play,
2011-2012,Venus In Fur,Caucasian,5,,Play,
2011-2012,Venus In Fur,Latino,0,,Play,
2011-2012,Venus In Fur,Other,0,,Play,
2011-2012,War Horse,African American,0,,Musical,
2011-2012,War Horse,Asian American,1,,Musical,
2011-2012,War Horse,Caucasian,20,,Musical,
2011-2012,War Horse,Latino,0,,Musical,
2011-2012,War Horse,Other,0,,Musical,
2011-2012,Wit,African American,2,,Play,
2011-2012,Wit,Asian American,1,,Play,
2011-2012,Wit,Caucasian,8,,Play,
2011-2012,Wit,Latino,1,,Play,
2011-2012,Wit,Other,0,,Play,
2012-2013,Chaplin,Caucasian,21,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,African American,3,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,Latino,2,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,Asian American,0,Ethel Barrymore Theatre,Musical,
2012-2013,Chaplin,Other,0,Ethel Barrymore Theatre,Musical,
2012-2013,Fela,Caucasian,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,African American,15,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,Latino,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,Asian American,0,Al Hirschfeld Theatre,Musical,
2012-2013,Fela,Other,0,Al Hirschfeld Theatre,Musical,
2012-2013,A Christmas Story,Caucasian,28,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,African American,1,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,Latino,3,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,Asian American,2,Lunt Fontanne Theatre,Musical,
2012-2013,A Christmas Story,Other,0,Lunt Fontanne Theatre,Musical,
2012-2013,Scandalous,Caucasian,19,Neil Simon Theatre,Musical,
2012-2013,Scandalous,African American,3,Neil Simon Theatre,Musical,
2012-2013,Scandalous,Latino,1,Neil Simon Theatre,Musical,
2012-2013,Scandalous,Asian American,0,Neil Simon Theatre,Musical,
2012-2013,Scandalous,Other,0,Neil Simon Theatre,Musical,
2012-2013,Bring It On,Caucasian,26,St. James Theatre,Musical,
2012-2013,Bring It On,African American,10,St. James Theatre,Musical,
2012-2013,Bring It On,Latino,2,St. James Theatre,Musical,
2012-2013,Bring It On,Asian American,1,St. James Theatre,Musical,
2012-2013,Bring It On,Other,0,St. James Theatre,Musical,
2012-2013,The Mystery of Edwin Drood,Caucasian,23,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,African American,0,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,Latino,1,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,Asian American,0,Studio 54,Musical,
2012-2013,The Mystery of Edwin Drood,Other,0,Studio 54,Musical,
2012-2013,Annie,Caucasian,39,Palace Theatre,Musical,
2012-2013,Annie,African American,3,Palace Theatre,Musical,
2012-2013,Annie,Latino,2,Palace Theatre,Musical,
2012-2013,Annie,Asian American,3,Palace Theatre,Musical,
2012-2013,Annie,Other,0,Palace Theatre,Musical,
2012-2013,Hands on a Hardbody,Caucasian,18,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,African American,2,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,Latino,2,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,Asian American,1,Brooks Atkinson Theater,Musical,
2012-2013,Hands on a Hardbody,Other,0,Brooks Atkinson Theater,Musical,
2012-2013,Elf,Caucasian,24,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,African American,3,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,Latino,0,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,Asian American,1,Al Hirschfeld Theatre,Musical,
2012-2013,Elf,Other,0,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,Caucasian,38,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,African American,10,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,Latino,1,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,Asian American,1,Al Hirschfeld Theatre,Musical,
2012-2013,Kinky Boots,Other,0,Al Hirschfeld Theatre,Musical,
2012-2013,Matilda,Caucasian,30,Shubert Theatre,Musical,
2012-2013,Matilda,African American,4,Shubert Theatre,Musical,
2012-2013,Matilda,Latino,1,Shubert Theatre,Musical,
2012-2013,Matilda,Asian American,2,Shubert Theatre,Musical,
2012-2013,Matilda,Other,0,Shubert Theatre,Musical,
2012-2013,Cinderella,Caucasian,24,The Broadway Theatre,Musical,
2012-2013,Cinderella,African American,3,The Broadway Theatre,Musical,
2012-2013,Cinderella,Latino,0,The Broadway Theatre,Musical,
2012-2013,Cinderella,Asian American,2,The Broadway Theatre,Musical,
2012-2013,Cinderella,Other,0,The Broadway Theatre,Musical,
2012-2013,Jekyll and Hyde,Caucasian,19,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,African American,4,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,Latino,0,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,Asian American,0,Marquis Theatre,Musical,
2012-2013,Jekyll and Hyde,Other,0,Marquis Theatre,Musical,
2012-2013,Motown,Caucasian,7,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,African American,35,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,Latino,0,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,Asian American,0,Lunt Fontanne Theatre,Musical,
2012-2013,Motown,Other,0,Lunt Fontanne Theatre,Musical,
2012-2013,Pippin,Caucasian,22,Music Box Theatre,Musical,
2012-2013,Pippin,African American,3,Music Box Theatre,Musical,
2012-2013,Pippin,Latino,0,Music Box Theatre,Musical,
2012-2013,Pippin,Asian American,0,Music Box Theatre,Musical,
2012-2013,Pippin,Other,0,Music Box Theatre,Musical,
2012-2013,Cyrano de Bergerac,Caucasian,17,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,African American,1,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,Latino,0,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,Asian American,0,American Airlines Theatre,Play,
2012-2013,Cyrano de Bergerac,Other,0,American Airlines Theatre,Play,
2012-2013,An Enemy of the People by Henrik,Caucasian,14,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,African American,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,Latino,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,Asian American,0,Samuel J. Friedman Theater,Play,
2012-2013,An Enemy of the People by Henrik,Other,0,Samuel J. Friedman Theater,Play,
2012-2013,The Performers,Caucasian,8,Longacre Theatre,Play,
2012-2013,The Performers,African American,1,Longacre Theatre,Play,
2012-2013,The Performers,Latino,0,Longacre Theatre,Play,
2012-2013,The Performers,Asian American,0,Longacre Theatre,Play,
2012-2013,The Performers,Other,1,Longacre Theatre,Play,
2012-2013,Glengarry Glen Ross,Caucasian,8,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,African American,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,Latino,1,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,Asian American,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Glengarry Glen Ross,Other,0,Gerald Schoenfeld Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,Caucasian,18,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,African American,4,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,Latino,0,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,Asian American,0,Richard Rodgers Theatre,Play,
2012-2013,Cat on a Hot Tin Roof,Other,0,Richard Rodgers Theatre,Play,
2012-2013,Golden Boy,Caucasian,19,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,African American,0,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,Latino,2,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,Asian American,0,Belasco Theatre (Lincoln Center),Play,
2012-2013,Golden Boy,Other,1,Belasco Theatre (Lincoln Center),Play,
2012-2013,The Nance,Caucasian,12,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,African American,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,Latino,1,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,Asian American,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,The Nance,Other,0,Lyceum Theatre (Lincoln Center),Play,
2012-2013,Breakfast at Tiffany's,Caucasian,12,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,African American,0,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,Latino,1,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,Asian American,2,Cort Theatre,Play,
2012-2013,Breakfast at Tiffany's,Other,0,Cort Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,Caucasian,9,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,African American,2,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,Latino,0,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,Asian American,0,Golden Theatre,Play,
2012-2013,Vanya & Sonia & Masha & Spike,Other,0,Golden Theatre,Play,
2012-2013,The Trip to Bountiful,Caucasian,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,African American,10,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,Latino,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,Asian American,0,Stephen Sondheim Theatre,Play,
2012-2013,The Trip to Bountiful,Other,0,Stephen Sondheim Theatre,Play,
2012-2013,The Big Knife,Caucasian,14,American Airlines Theatre,Play,
2012-2013,The Big Knife,African American,1,American Airlines Theatre,Play,
2012-2013,The Big Knife,Latino,1,American Airlines Theatre,Play,
2012-2013,The Big Knife,Asian American,0,American Airlines Theatre,Play,
2012-2013,The Big Knife,Other,0,American Airlines Theatre,Play,
2012-2013,Lucky Guy,Caucasian,15,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,African American,3,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,Latino,0,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,Asian American,0,Broadhurst Theatre,Play,
2012-2013,Lucky Guy,Other,0,Broadhurst Theatre,Play,
2012-2013,Harvey,Caucasian,15,Studio 54,Play,
2012-2013,Harvey,African American,0,Studio 54,Play,
2012-2013,Harvey,Latino,0,Studio 54,Play,
2012-2013,Harvey,Asian American,0,Studio 54,Play,
2012-2013,Harvey,Other,0,Studio 54,Play,
2012-2013,The Anarchist,Caucasian,3,Golden Theatre,Play,
2012-2013,The Anarchist,African American,0,Golden Theatre,Play,
2012-2013,The Anarchist,Latino,0,Golden Theatre,Play,
2012-2013,The Anarchist,Asian American,0,Golden Theatre,Play,
2012-2013,The Anarchist,Other,0,Golden Theatre,Play,
2012-2013,Dead Accounts,Caucasian,8,The Music Box,Play,
2012-2013,Dead Accounts,African American,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,Latino,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,Asian American,0,Walter Kerr Theatre,Play,
2012-2013,Dead Accounts,Other,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,Caucasian,11,Walter Kerr Theatre,Play,
2012-2013,The Heiress,African American,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,Latino,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,Asian American,0,Walter Kerr Theatre,Play,
2012-2013,The Heiress,Other,0,Walter Kerr Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,Caucasian,8,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,African American,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,Latino,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,Asian American,0,Booth Theatre,Play,
2012-2013,Who's Afraid of Virginia Woolf,Other,0,Booth Theatre,Play,
2012-2013,Grace,Caucasian,7,Cort Theatre,Play,
2012-2013,Grace,African American,0,Cort Theatre,Play,
2012-2013,Grace,Latino,0,Cort Theatre,Play,
2012-2013,Grace,Asian American,0,Cort Theatre,Play,
2012-2013,Grace,Other,0,Cort Theatre,Play,
2012-2013,Picnic,Caucasian,15,American Airlines Theatre,Play,
2012-2013,Picnic,African American,0,American Airlines Theatre,Play,
2012-2013,Picnic,Latino,0,American Airlines Theatre,Play,
2012-2013,Picnic,Asian American,0,American Airlines Theatre,Play,
2012-2013,Picnic,Other,0,American Airlines Theatre,Play,
2012-2013,The Other Place by Sharr White,Caucasian,4,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,African American,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,Latino,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,Asian American,0,Samuel J. Friedman Theater,Play,
2012-2013,The Other Place by Sharr White,Other,0,Samuel J. Friedman Theater,Play,
2012-2013,Ann ,Caucasian,1,The Vivian Beaumont,Play,
2012-2013,Ann ,African American,0,The Vivian Beaumont,Play,
